Text;Date;Time;Draft;Facebook;Twitter/X;LinkedIn;GBP;Instagram;Pinterest;TikTok;Youtube;Threads;Bluesky;Picture Url 1;Picture Url 2;Picture Url 3;Picture Url 4;Picture Url 5;Picture Url 6;Picture Url 7;Picture Url 8;Picture Url 9;Picture Url 10;Alt text picture 1;Alt text picture 2;Alt text picture 3;Alt text picture 4;Alt text picture 5;Alt text picture 6;Alt text picture 7;Alt text picture 8;Alt text picture 9;Alt text picture 10;Document title;Shortener;Video Thumbnail Url;Video Cover Frame;Twitter/X Can reply;Twitter/X Type;Twitter/X Poll Duration minutes;Twitter/X Poll Option 1;Twitter/X Poll Option 2;Twitter/X Poll Option 3;Twitter/X Poll Option 4;Pinterest Board;Pinterest Pin Title;Pinterest Pin Link;Pinterest Pin New Format;Instagram Post Type;Instagram Show Reel On Feed;Instagram Trial Reel Share Automatically;Youtube Video Title;Youtube Video Type;Youtube Video Privacy;Youtube video for kids;Youtube AI generated content;Youtube Video Category;Youtube Video Tags;Youtube playlist;GBP Post Type;Facebook Post Type;Facebook Title;First Comment Text;TikTok Title;TikTok disable comments;TikTok disable duet;TikTok disable stitch;TikTok Post Privacy;TikTok Branded Content;TikTok Your Brand;TikTok Auto Add Music;TikTok Photo Cover Index;TikTok musicId;TikTok music title;TikTok music author;TikTok music previewUrl;TikTok music thumbnailUrl;TikTok music soundVolume;TikTok music originalVolume;TikTok music startMillis;TikTok music endMillis;TikTok Ai generated content;LinkedIn Type;LinkedIn Poll Question;LinkedIn Poll Option 1;LinkedIn Poll Option 2;LinkedIn Poll Option 3;LinkedIn Poll Option 4;LinkedIn Poll Duration;LinkedIn Show link preview;LinkedIn Images as Carousel;Threads Reply Control;Threads Is Spoiler;Threads Post Type;Brand name
"🔥 ¡Perforaciones perfectas en porcelanato y mármol sin romper nada! 💎

¿Cansado de despostillar palmetas costosas al instalar grifería o cañerías? Con nuestro Saca Bocado Diamantado de 35mm logras cortes limpios, rápidos y precisos en segundos.

✨ Ideal para: Porcelanato, mármol, granito y baldosas.
📏 Medida estándar de 35mm (la medida justa para griferías).
🔄 Uso en seco o húmedo.

💰 PRECIO: $17.000 CLP c/u

🚚 PAGO CONTRA ENTREGA EN SANTIAGO (RM): Recibes en tu taller u obra y pagas al instante.
📦 ENVÍOS A TODO CHILE: Despachamos a regiones previa transferencia.

📲 ¡Pide el tuyo ahora mismo por WhatsApp al +56 9 7868 5664! 🔗

#AmericaPulido #SacaBocado35mm #HerramientasDePulido #MarmoleriaChile #PorcelanatoSantiago #ConstruccionChile #PagoContraEntrega";"2026/08/26";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_sacabocado_35mm.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"✨ Brillo espejo profesional en mármol, hormigón y terrazo 🏢💎

Eleva la calidad de tus trabajos con nuestros Discos de Resina Premium. Diseñados con máxima densidad diamantada para un refinado ultrarrápido y un acabado brillante duradero.

🔹 Granos disponibles: 50, 100, 200, 400, 800, 1500, 3000.
🔹 Rendimiento superior por disco.
🔹 Apto uso en seco y húmedo.

💰 PRECIO: $11.990 CLP c/u

🚚 PAGO CONTRA ENTREGA EXCLUSIVO EN SANTIAGO: Pagas al recibir en tu domicilio/obra.
📦 ENVÍOS A REGIONES: Cobertura a todo Chile vía Starken / Chilexpress.

📩 Escríbenos al WhatsApp +56 9 7868 5664 y cotiza tu juego de resinas hoy.

#PulidoDePisos #DiscosDeResina #MarmolChile #HormigonPulido #InsumosDePulido #AmericaPulido";"2026/08/28";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_resina_premium.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"🚫💧 ¡Trabaja en seco sin quemar la piedra ni dejar marcas! 

Nuestros Discos de Resina en Seco están formulados para resistir alta fricción sin desprender polvo nocivo ni dañar el material base.

✅ Ideal para terminaciones rápidas y repasos en seco.
✅ Disponible en todos los granos refinadores.

💰 PRECIO: $5.800 CLP c/u

🚚 Santiago: ¡PAGO CONTRA ENTREGA! Paga cuando el pedido llegue a tus manos.
📦 Regiones: Envíos diarios a todo Chile.

📲 Haz tu pedido rápido por WhatsApp al +56 9 7868 5664. ¡Respondemos al instante!

#InsumosMarmoleria #PulidoEnSeco #HerramientasChile #SantiagoChile #ConstruccionRM";"2026/08/30";"11:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_resina_seco.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"💪 Ranurado pesado de 10mm de espesor para mármol y granito 🪨⚡

Si realizas ranuras de drenaje en cubiertas, escurridores o canterías técnicas, necesitas el Disco Ranurador Diamantado 114mm x 10mm de América Pulido.

⚙️ Espesor exacto de 10mm.
⚙️ Rendimiento extremo en cortes profundos y repetitivos.

💰 PRECIO: $49.000 CLP c/u

🚚 SANTIAGO: Entrega con Pago Contra Entrega (efectivo o transferencia al recibir).
📦 RESTO DE CHILE: Envío seguro a regiones previo pago.

📲 Cotiza directo en WhatsApp: +56 9 7868 5664.

#MarmolerosChile #GranitoSantiago #RanuradorDiamantado #AmericaPulidoSPA #HerramientasProfesionales";"2026/08/31";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_ranurador_114mm.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"🧪 Rellena, pega y restaura mármol con acabado invisible ✨

La Masilla Mágica de Poliéster Dermax es la aliada número 1 para reparar grietas, saltaduras o unir piezas de piedra natural y baldosas.

⚪ Disponible en color Blanco y Negro.
🧪 Incluye su catalizador de secado rápido.
🎨 Apta para pigmentar y pulir al ras.

💰 PRECIO: $21.990 CLP c/u (Tarro + Catalizador)

🚚 PAGO CONTRA ENTREGA EN SANTIAGO (RM).
📦 ENVÍOS A REGIONES en 24-48 horas.

📲 Pídela hoy al WhatsApp +56 9 7868 5664!

#MasillaDermax #RestauracionDeMarmol #PegadoDePiedra #MarmoleriaSantiago #AmericaPulido";"2026/09/02";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_masilla_dermax.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"📐 Llega a donde la pulidora plana no puede llegar 📐

La Piedra Cónica de Carburo de Silicio (M14) es imprescindible para desbastar bordes, zócalos, escalones y esquinas difíciles.

🔹 Granos disponibles: 36 (Desbaste agresivo), 60 y 80.
🔹 Conexión M14 estándar para esmeril/galleteadora.

💰 PRECIO: $12.990 CLP c/u

🚚 Santiago: PAGO CONTRA ENTREGA directito a tu taller u obra.
📦 Regiones: Despachos a todo Chile.

📲 ¿Necesitas asesoría o comprar? Escríbenos al WhatsApp +56 9 7868 5664.

#PiedraConica #EsquinasYTerminaciones #PulidoDeZocalos #InsumosSantiago #AmericaPulido";"2026/09/04";"08:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_piedra_conica.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"🌀 Biselado y perfilado perfecto en cantos curvos 🪨

El Rodillo Diamantado M14 te permite moldear y dar acabado a bordes redondeados, curvas de encimeras y perfilados cóncavos con total suavidad.

▫️ Rosca directa M14.
▫️ Diámetros: 30mm, 40mm y 50mm.

💰 PRECIO: $59.990 CLP c/u

🚚 SANTIAGO: PAGO CONTRA ENTREGA en toda la Región Metropolitana.
📦 REGIONES: Envíos por pagar a través de Starken/Chilexpress.

📲 WhatsApp directo: +56 9 7868 5664.

#RodilloDiamantado #EncimerasDeMarmol #GranitoChile #AmericaPulido #HerramientasDeMarmoleria";"2026/09/06";"11:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_rodillo_diamantado.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"🧩 ¿Base Flexible o Base Reforzada de Bronce? Tenemos las dos 👇

Para que tus discos rindan al 100%, necesitas el soporte adecuado:

1️⃣ Base Flexible ($3.000 CLP): Se adapta a desniveles suaves y relieves sin marcar la superficie.
2️⃣ Base Reforzada con Inserto de Bronce M14 ($9.990 CLP): Ultra resistente para trabajos pesados.

💰 PRECIOS: Desde $3.000 CLP

🚚 PAGO CONTRA ENTREGA EN SANTIAGO (RM).
📦 ENVÍOS A REGIONES previo pago.

📲 Escríbenos al WhatsApp +56 9 7868 5664!

#BasesParaPulir #SoporteVelcro #HerramientasSantiago #PisosPulidos #AmericaPulido";"2026/09/07";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_base_pulir_reforzada.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"✂️ Corte fino y rápido en concreto, porcelanato y azulejos 🧱✨

Línea de Discos Diamantados de Corte América Pulido:
🔸 Continuous Rim (Continuo): Para cortes extra limpios sin astillar azulejos o porcelanatos.
🔸 Segmented Rim (Segmentado): Para velocidad e impacto en concreto, ladrillo y piedra.

📏 Medidas: 4 1/2"" y 7""

💰 PRECIOS: 4 1/2"": $5.990 CLP | 7"": $13.990 CLP

🚚 PAGO CONTRA ENTREGA EN SANTIAGO.
📦 ENVÍOS A TODO CHILE.

📲 Paga al recibir en Santiago escribiendo al WhatsApp +56 9 7868 5664.

#DiscosDeCorte #PorcelanatoChile #ConstruccionSantiago #AmericaPulido";"2026/09/09";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_corte_segmentado.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"🪞 El secreto del verdadero Brillo Espejo 🪞

Logra el sello final profesional en mármol y superficies pulidas con nuestro Pañete Textil Industrial de Lustrado.

✨ Elimina micro-rayas.
✨ Realza el tono natural de la piedra con cera o cristalizador.

💰 PRECIO: $19.990 CLP

🚚 PAGO CONTRA ENTREGA EN SANTIAGO (RM).
📦 ENVÍOS A REGIONES a diario.

📲 ¡Haz tu pedido ahora al WhatsApp +56 9 7868 5664!

#LustradoEspejo #RestauracionDePisos #MarmolSantiago #AmericaPulido";"2026/09/11";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://www.americapulidospa.cl/img/productos/prod_panete.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
